net,length_um
_060_,87.045
clknet_1_1__leaf_clk,78.28
clknet_1_0__leaf_clk,77.005
_025_,68.12
_010_,67.835
U7.digit_counter\[1\],63.21
_063_,61.16
clk,53.45
_007_,52.725
_057_,45.22
_026_,44.4
U7.current_digit\[3\],40.115
_036_,38.38
_061_,37.51
_030_,36.55
an[4],34.87
_056_,34.74
net5,34.54
net16,33.89
an[6],33.15
_058_,32.02
U7.digit_counter\[0\],31.47
net6,30.12
_055_,29.78
U7.current_digit\[2\],28.55
net1,28.44
_038_,27.86
_020_,27.48
U7.current_digit\[0\],26.52
_024_,26.3
_009_,25.565
an[0],25.49
an[1],25.07
_044_,24.72
U7.digit_counter\[2\],24.44
_011_,23.865
net7,23.64
net33,22.92
U7.digit_counter\[3\],22.72
clknet_0_clk,22.6
an[3],22.27
cx[6],22.07
_062_,22
cx[7],21.89
U7.current_digit\[1\],21.5
net14,21.4
net25,21.34
net24,20.56
net19,20.1
an[2],19.91
cx[5],19.89
_016_,19.64
_047_,19.485
_032_,19.34
net2,18.96
_031_,18.84
_017_,18.835
_027_,17.2
net3,17.135
_050_,16.94
an[5],16.41
_029_,15.5
net29,14.56
_053_,14.14
net26,14.1
net22,13.96
_059_,13.48
_051_,13.23
_001_,13.16
net34,12.48
_015_,12.385
net13,12.28
_028_,11.66
net21,11.58
_046_,11.5
cx[3],10.75
_005_,10.385
_002_,10.025
cx[1],9.87
_033_,9.42
_022_,9.145
cx[4],8.93
_000_,8.42
net15,8.16
net27,8.16
_049_,8.06
net32,8.06
net11,7.94
_034_,7.8
_048_,7.485
_003_,7.46
_045_,7.28
_019_,7.205
_023_,7.165
_041_,7.14
net9,6.6
cx[2],5.99
_043_,5.96
net23,5.8
net12,5.34
_006_,5.305
_039_,5.26
_012_,4.885
_035_,4.88
an[7],4.85
net17,4.8
net8,4.78
_008_,4.725
net30,4.6
net31,4.48
_054_,4.34
_052_,3.86
_018_,3.465
_042_,3.42
_037_,3.32
_040_,2.96
_021_,2.785
net10,2.5
_014_,2.325
net18,2.325
net4,2.16
net20,2.16
_013_,2.145
_004_,2.05
net28,1.82
U7.temp\[0\],1.72
