net,length_um
_3879_,1232
_1171_,1212.72
_3114_,1192.7
_3424_,1168.28
_1213_,1167.535
clknet_0_clk,1164.21
_1697_,1161.31
_1025_,1159.53
_3375_,1156.4
_4096_,1134.67
_3007_,1131.24
_3951_,1121.01
_1717_,1112.78
_1671_,1109.91
_1215_,1108.34
_1712_,1105.13
_1699_,1087.535
_3843_,1070.73
_3303_,1067.04
_3266_,1044.88
_1685_,1043.26
_3516_,1042.23
_1729_,1041.69
_1291_,1023.65
_4000_,1022.02
_3771_,1021.98
_1704_,1016.65
_3194_,1013.7
_1195_,1009.03
_1071_,1004.23
_3807_,998.65
_1739_,991.08
_3927_,987.52
_1259_,981.43
_1716_,963.24
_3963_,955.46
_3699_,954.895
_1254_,947.9
_1205_,946.1
_1078_,938.17
_4255_,932.86
_4060_,928.88
_1239_,927.43
_1194_,925.065
_1036_,924.87
_1722_,923.94
_3891_,922.84
_3339_,922.82
_3663_,920.62
_3528_,916.45
_4204_,908.41
_1174_,905.07
_4072_,903.59
_1211_,902.5
_3855_,901.4
_1287_,900.08
_3206_,896.43
_1777_,896.1
_1198_,895.03
_1189_,893.71
_1700_,893.46
net46,893.34
_3915_,890.71
_3413_,888.025
_1057_,886.835
_3783_,884.16
_3315_,880.98
_1734_,880.81
_1719_,878.11
_1686_,875.02
_3938_,874.74
_3044_,871.72
_3022_,871.31
_1711_,868.38
_1325_,867.87
_3065_,866.75
_4191_,866.23
_1702_,865.76
_1214_,864.935
_4144_,857.18
_3590_,856.48
_1713_,856.12
_1735_,854.86
_1898_,851.53
_3092_,850.35
_1192_,849.73
_1170_,846.56
_3455_,846.22
_1672_,845.46
_3613_,842.5
clknet_3_1__leaf_clk,841.55
_1707_,839.24
_3242_,836.28
_3477_,832.19
_3289_,832.115
_3217_,832.08
_3412_,829.59
_4024_,826.89
_3988_,824.12
_1178_,823.6
_1187_,823.55
_1279_,823.285
_1823_,822.47
_3722_,820.95
_4244_,820.2
_3351_,819.37
_3387_,817.71
_4216_,814.87
_4168_,813.48
_3253_,807.84
_3650_,805.53
_3135_,805.275
_1201_,801.48
_1828_,800.205
_3916_,797.51
_1745_,795.8
net4,792.26
_1324_,791.2
_3974_,790.305
_1200_,787.84
clknet_3_4__leaf_clk,787
_3686_,786.05
_4133_,781.47
_3830_,780.94
_3602_,778.93
_3628_,778.7
_1678_,775.6
_3168_,774.63
_3554_,772.69
_1038_,772.66
_4047_,771.08
_3555_,770.05
_1222_,769.7
_3880_,769.48
_1029_,768.94
_1675_,767.86
_3639_,766.38
_3627_,765.94
_1088_,763.605
_4011_,759.04
_3700_,758.66
_1822_,758.27
_1268_,757.48
_3023_,756.24
_3989_,753.63
_3819_,753.49
_3435_,751.52
_1107_,750.51
_4155_,749.47
_3736_,748.9
_1043_,748.515
_4205_,744.615
_1203_,743.43
_4119_,741.71
_1190_,741.09
_1896_,737.87
_3664_,736.74
_3758_,735.71
_3179_,735.18
_3808_,734.94
_3591_,732.27
_1718_,732.08
_3278_,728.95
_1191_,727.37
_3952_,727.37
_3577_,726.28
_3735_,723.42
_1884_,722.88
_3675_,722.78
_1889_,719.01
_4025_,718.36
_4036_,716.92
_1680_,716.75
_1048_,715.29
_3844_,713.25
_3093_,712.58
_1738_,712.47
_3398_,705.98
_1183_,705.35
_3902_,704.04
_1199_,703.05
_1684_,702.87
_4132_,701.965
_1692_,700.55
_4180_,700.44
_1882_,697.41
_1773_,696.005
_4227_,695.87
_3866_,692.05
_3267_,690.54
_1720_,689.78
_1723_,686.87
_1721_,682.94
_3747_,679.47
_2118_,679.17
_3566_,676.77
_3794_,675.98
_3231_,675.54
_1901_,672.44
net126,670.425
_1263_,669.77
_1184_,669.58
_4108_,667.49
_1726_,665.19
_1689_,664.28
_1105_,662.76
net8,660.68
_3157_,659.88
_2052_,658.25
_1703_,657.81
_1728_,655.68
_3304_,654.03
_1040_,653.51
_1047_,652.74
_1352_,648.38
_4169_,645.34
_1037_,637.525
_2114_,635.42
_2117_,632.68
_3340_,631.83
_4097_,626.4
net127,623.95
_3474_,622.04
_1706_,618.5
_1090_,616.97
_3517_,615.61
_1182_,614.88
_1053_,614.77
_3711_,612.78
_1044_,609.47
net45,609.355
_3326_,606.46
_3772_,603.36
_4083_,600.13
net47,599.96
_1696_,599.54
_1073_,597.54
_1219_,597.52
_1670_,597.38
_3456_,597.19
net48,596.76
_1782_,596.405
net38,595.49
_3060_,594.65
_3376_,593.51
_1690_,592.43
_3006_,591.48
_4061_,589.8
_3362_,588.44
_1050_,587.925
_2053_,586.81
_1693_,584.36
net5,580.72
_1766_,579.34
clknet_3_3__leaf_clk,576.86
net18,575.86
_3120_,574.41
_1733_,568.38
_1673_,567.45
_1207_,563.39
_3195_,560.57
_3539_,557.93
_1175_,552.03
_2051_,551.99
_3156_,551.35
_2050_,549.64
net43,549.53
_1181_,548.3
_3489_,545.32
_1708_,541.61
_3126_,536.37
_3116_,527.68
_1767_,525.95
_2113_,524.5
_1705_,522.95
_3498_,519.3
net23,514.08
_1065_,513.495
_1267_,512.57
_1193_,512.29
_1351_,512.04
net39,511.76
_1208_,511.2
_3479_,505.08
_2044_,501.255
_3230_,500.43
net1156,499.85
_1897_,499.81
_1691_,495.14
_1883_,491.74
_1768_,489.63
_3497_,487.04
_1027_,486.31
_1089_,483.06
clknet_3_6__leaf_clk,479.78
_3134_,476.81
_3493_,475.24
net128,474.21
_3081_,473.25
_1895_,472.65
clknet_3_7__leaf_clk,472.26
_1042_,471.66
_3446_,467.71
_1674_,466.4
_3504_,465.97
clknet_3_0__leaf_clk,465.88
_1640_,463.15
_1041_,460.4
_3476_,456.46
_1262_,456.32
_3111_,455.67
_1918_,454.62
net93,454.56
clknet_3_5__leaf_clk,448.23
clknet_3_2__leaf_clk,444.67
clknet_leaf_68_clk,440.31
net102,438.7
_1221_,437.37
_1881_,436.77
_1701_,434.05
_3064_,433.34
_3046_,430.57
net1164,427.06
_1919_,426.39
net135,426.3
_3502_,425.71
clk,425.38
_3145_,424.04
net3,423.97
_3113_,421.42
_3495_,420.4
_1061_,419.02
net1155,418.395
net106,417.08
_1679_,416.12
_1066_,414.72
_1034_,414.18
_1052_,411.65
_3011_,407.65
net108,404.52
_3448_,397.355
_2503_,392.93
net1158,392.58
_1677_,392.22
net117,390.12
_3013_,387.74
_3062_,387.72
net42,385.74
_1028_,383.315
_1026_,382.57
net16,381.33
net132,380.08
net29,379.89
_3122_,377.8
_3132_,373.75
_1035_,372.26
_1172_,368.18
_3052_,365.92
_3485_,361.78
net107,360.8
_1290_,359.64
_1978_,357.5
_3508_,354.79
_3468_,353.785
net26,350.19
_1149_,348.86
_1676_,346.87
net44,342.73
_3466_,340.79
net28,340.01
net25,339.5
_3103_,339.39
_3043_,336.27
net94,335.52
_3105_,334.75
_3056_,334.43
_1173_,333.6
_1660_,330.87
net40,329.84
net82,328.07
net1161,327.53
_1645_,327.29
_1655_,327.21
_1111_,325.675
net100,324.32
_3083_,323.21
net27,323.14
_1681_,320.65
_1104_,320.62
_1641_,316.85
net36,316.48
_3075_,316.32
_1642_,314.92
clknet_leaf_35_clk,314.255
_2097_,311.79
_1923_,311.38
_1060_,310.98
net41,308
_3095_,307.07
_3054_,303.44
_3099_,300.39
_1220_,299.3
_3073_,297.73
net120,297.14
_1072_,296.48
_3487_,291.3
net22,287.275
_3500_,285.72
_2530_,285.02
_3137_,285
net15,282.78
net49,281.64
net14,280.07
_1669_,280
_2080_,274.38
_1904_,272.51
_1779_,272.25
net17,271.22
_1126_,270.73
_2229_,268.96
_1144_,268.2
_1315_,267.64
_1370_,267.48
net72,265.38
_1799_,263.77
net103,263.37
_3101_,262.87
_3464_,261.43
_2033_,261.37
_1167_,259.83
_2965_,258.68
net69,254.24
_2015_,253.58
net101,251.53
net73,250.14
net71,250.12
_1168_,248.42
_1668_,246.86
_2536_,246.41
_3470_,245.755
_1166_,245.115
net24,245.06
_1087_,244.795
_1169_,244.67
net21,243.9
_2363_,243.09
_2160_,243.04
net60,240.06
_3107_,239.67
net75,238.18
_2421_,236.69
net19,235.45
_1334_,232.53
_1839_,232.185
_1996_,231.88
net74,230.86
_1348_,230.7
_2178_,229.85
_1942_,228.93
net30,228.56
_2040_,226.31
_2595_,223.92
_1639_,222.66
_1528_,221.98
_1480_,221.31
_2251_,221.21
_2373_,219.61
_2504_,219.16
net31,217.54
net20,217.52
_1384_,217.3
_1638_,216.84
_1148_,215.05
_1667_,214.89
A2[0],214.49
net1163,210.84
net32,210.6
_1800_,210.59
_2591_,210.12
net67,209.76
_1820_,208.78
_2411_,206.3
_1842_,205.22
_1731_,205.08
_1127_,202.92
net35,199
_2102_,198.755
_1464_,198.56
_2104_,198.24
_1145_,198.025
_1125_,196.11
clknet_leaf_24_clk,196.05
clknet_leaf_33_clk,194.63
_1236_,194.62
_1634_,193.16
_2501_,192.6
_2105_,192.265
net68,191.92
_1542_,191.71
clknet_leaf_60_clk,191.35
_2408_,190.975
_2323_,190.41
_2621_,188.82
_2327_,188.78
net65,187.42
net81,186.38
_1858_,185.66
_2333_,183.6
net66,182.76
_2305_,181.48
_2337_,179.04
_1957_,178.79
_2246_,177.28
_1277_,176.25
net77,174.54
clknet_leaf_30_clk,172.83
clknet_leaf_66_clk,172.7
_1202_,170.28
_2039_,168.955
net1,165.93
net37,165.6
_2255_,165.07
_2496_,165.01
_1941_,164.81
_1298_,162.71
clknet_leaf_16_clk,162.08
clknet_leaf_29_clk,161.98
_1216_,161.21
net63,159.72
_2175_,159.02
clknet_leaf_34_clk,158.26
net53,157.76
_2062_,156.54
_1601_,156.37
clknet_leaf_63_clk,155.125
clknet_leaf_27_clk,153.14
net79,152.82
net62,152.7
_3491_,152.65
net64,152.12
net52,151.84
clknet_leaf_62_clk,151.22
clknet_leaf_0_clk,151.15
clknet_leaf_73_clk,149.915
_1567_,148.86
_1110_,146.5
clknet_leaf_50_clk,146.24
net80,146.04
_1958_,145.96
_2286_,145.72
_3109_,145.01
_1874_,144.42
clknet_leaf_19_clk,144.14
_1361_,143.74
clknet_leaf_56_clk,143.16
_1666_,143.15
_1754_,143.07
_1430_,142.66
_3009_,141.9
net61,141.64
_1217_,141.26
_1070_,141.13
_3481_,140.86
clknet_leaf_8_clk,140.08
_3462_,140
clknet_leaf_52_clk,140
clknet_leaf_32_clk,139.87
